name,sku,category,base_unit,description
60 MIN FIRE RATED CHIPBOARD CORE 2400X1200X54MM,00-50003889,Others,sheet,
60 MIN FIRE RATED CHIPBOARD CORE 2400X950X54MM,00-50003888,Others,sheet,
60 MIN FIRE RATED CHIPBOARD CORE 4X8X54MM,00-50003079,Others,sheet,
90 MIN FIRE RATED CHIPBOARD CORE 2400X1200X64MM,00-50003891,Others,sheet,
90 MIN FIRE RATED CHIPBOARD CORE 2400X950X64MM,00-50003890,Others,sheet,
90 MIN FIRE RATED CHIPBOARD CORE 4X8X64MM,00-50003125,Others,sheet,
FILLER PUTTY - BONDO,00-50000347,Others,gallon,
Hand Gloves - Dotted,00-50000198,Others,pair,
Hand Gloves - Latex - UKEN,00-50000197,Others,pair,
Jigsaw Blade T114D - BOSCH,00-50000195,Others,piece,
Jigsaw Blade T118A - BOSCH,00-50000194,Others,piece,
PAINT FILTER - PAPER,00-50000346,Others,piece,
Router Bit - 711.130.11B - CMT,00-50000189,Others,piece,
Router Bit - U24478 - UKEN,00-50002219,Others,piece,
Router Bit - U24534 - UKEN,00-50000187,Others,piece,
Router Bit - U24620 - UKEN,00-50000188,Others,piece,
SANDING CLOTH GRITT ROLL 120 4.5'',00-50000345,Others,roll,
SANDING CLOTH GRITT ROLL 220 4.5'',00-50000348,Others,roll,
SANDING PAPER 600G - BELMONT,00-50000267,Others,piece,
SPIRAL BIT FOR CNC - FULL SOLID CARBIDE D-4x12 - PART NO: 9H040,00-50001132,Others,piece,
SPIRAL BIT FOR CNC - HM SPIRAL TOOLING D-4x12 - L-50 - PART NO: 9E040,00-50000240,Others,piece,
Star Bit PH-2 - U1576 - UKEN,00-50000191,Others,piece,
TARPAULIN SHEET,00-50002484,Others,piece,
08MM WIRE CONNECTOR,00-50003629,Others,piece,
10MM WIRE CONNECTOR,00-50002412,Others,piece,
16MM WIRE CONNECTOR,00-50003435,Others,piece,
"2'' Masking Tape, 50Yard length - ASMACO",00-50000440,Others,piece,
Clear Silicon Asmaco 2500,00-50000543,Others,piece,
FEVICOL SH 50 KG,00-50000601,Others,kg,
GLASS CLEANER,00-50002238,Others,carton,
KNIFE BLADE LB-10,00-50002213,Others,piece,
SURGICAL FACE MASK - 3PLY,00-50001225,Others,piece,
05MM BORING BIT CMT - 311.050.11,00-50003864,Others,piece,
05MM BORING BIT CMT - 311.050.12,00-50003863,Others,piece,
1.6MM CNC ROUTER BIT CMT - 152.080.163,00-50003256,Others,piece,
10MM BORING BIT CMT - 311.100.11,00-50003859,Others,piece,
10MM BORING BIT CMT - 311.100.12,00-50003860,Others,piece,
12MM CNC ROUTER BIT CMT - 193.121.11,00-50003553,Others,piece,
15MM BORING BIT CMT - 311.150.11,00-50003861,Others,piece,
15MM BORING BIT CMT - 311.150.12,00-50003862,Others,piece,
22MMX1MM PVC LIPPING - WHITE,00-50003510,Others,m,
22MMX1MM PVC LIPPING (25823-REALITY) WHITE MATT,00-50003541,Others,roll,
22MMX2MM PVC LIPPING - WHITE,00-50003396,Others,roll,
22MMX2MM PVC LIPPING (25823-REALITY) WHITE MATT,00-50003326,Others,roll,
22MMX2MM PVC LIPPING (25825-REALITY) WHITE,00-50003274,Others,roll,
22MMX2MM PVC LIPPING (25826-REALITY) WHITE GLOSS,00-50003275,Others,roll,
2MM CNC TOOL 20/30 - 152.120.208,00-50004020,Others,piece,
35MM BORING BIT CMT - 369.350.42,00-50003576,Others,piece,
35MM BORING BIT CMT- 369.350.12,00-50003575,Others,piece,
3MM CNC ROUTER BIT CMT - 191.630.11,00-50003252,Others,piece,
3MM ROUTER CUTTING BIT UKEN-24272,00-50003681,Others,piece,
