Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
Acrylic,00-00000266,,,,
SUPPLY & FIXING OF ACRYLIC,00-50002615,,Nos.,Service,
Chipboard,00-00000087,,,,
60 MIN FIRE RATED CHIPBOARD CORE 2400X1200X54MM,00-50003889,,SHEET,Inventory Item,Cost of Materials
60 MIN FIRE RATED CHIPBOARD CORE 2400X950X54MM,00-50003888,,SHEET,Inventory Item,Cost of Materials
60 MIN FIRE RATED CHIPBOARD CORE 4X8X54MM,00-50003079,,SHEET,Inventory Item,Cost of Materials
90 MIN FIRE RATED CHIPBOARD CORE 2400X1200X64MM,00-50003891,,SHEET,Inventory Item,Cost of Materials
90 MIN FIRE RATED CHIPBOARD CORE 2400X950X64MM,00-50003890,,SHEET,Inventory Item,Cost of Materials
90 MIN FIRE RATED CHIPBOARD CORE 4X8X64MM,00-50003125,,SHEET,Inventory Item,Cost of Materials
Consumable Items,00-50000190,,,,
FILLER PUTTY - BONDO,00-50000347,,Gallon,Inventory Item,
Hand Gloves - Dotted,00-50000198,,Pair,Inventory Item,
Hand Gloves - Latex - UKEN,00-50000197,,Pair,Inventory Item,
Jigsaw Blade T114D - BOSCH,00-50000195,,Nos,Inventory Item,
Jigsaw Blade T118A - BOSCH,00-50000194,,Nos,Inventory Item,
PAINT FILTER - PAPER,00-50000346,,Nos,Inventory Item,
Router Bit - 711.130.11B - CMT,00-50000189,,Nos,Inventory Item,
Router Bit - U24478 - UKEN,00-50002219,,Nos,Inventory Item,Cost of Materials
Router Bit - U24534 - UKEN,00-50000187,,Nos,Inventory Item,
Router Bit - U24620 - UKEN,00-50000188,,Nos,Inventory Item,
SANDING CLOTH GRITT ROLL 120 4.5'',00-50000345,,Roll,Inventory Item,Cost of Materials
SANDING CLOTH GRITT ROLL 220 4.5'',00-50000348,,Roll,Inventory Item,Cost of Materials
SANDING PAPER 600G - BELMONT,00-50000267,,Pkt,Inventory Item,Material costs
SPIRAL BIT FOR CNC - FULL SOLID CARBIDE D-4x12 - PART NO: 9H040,00-50001132,,Nos,Inventory Item,Other Operating Expenses
SPIRAL BIT FOR CNC - HM SPIRAL TOOLING D-4x12 - L-50 - PART NO: 9E040,00-50000240,,Nos,Inventory Item,Other Operating Expenses
Star Bit PH-2 - U1576 - UKEN,00-50000191,,Nos,Inventory Item,
TARPAULIN SHEET ,00-50002484,,Nos.,Inventory Item,Cost of Materials
Consumables,00-50000401,,,,
08MM WIRE CONNECTOR,00-50003629,,Pkt,Inventory Item,Cost of Materials
10MM WIRE CONNECTOR,00-50002412,,Pkt,Inventory Item,Cost of Materials
16MM WIRE CONNECTOR,00-50003435,,Pkt,Inventory Item,Cost of Materials
"2'' Masking Tape, 50Yard length - ASMACO",00-50000440,,Nos,Inventory Item,
Clear Silicon Asmaco 2500,00-50000543,,Nos,Inventory Item,Cost of Materials
FEVICOL SH 50 KG,00-50000601,,Kg,Inventory Item,Cost of Materials
GLASS CLEANER,00-50002238,,CTN,Inventory Item,Cost of Materials
KNIFE BLADE LB-10,00-50002213,,Pkt.,Inventory Item,Cost of Materials
SURGICAL FACE MASK - 3PLY,00-50001225,,Pkt,Inventory Item,Cost of Materials
Consumables,00-00000021,,,,
05MM BORING BIT CMT - 311.050.11,00-50003864,,Nos.,Inventory Item,Cost of Materials
05MM BORING BIT CMT - 311.050.12,00-50003863,,Nos.,Inventory Item,Cost of Materials
1.6MM CNC ROUTER BIT CMT - 152.080.163,00-50003256,,Nos.,Inventory Item,Cost of Materials
10MM BORING BIT CMT - 311.100.11,00-50003859,,Nos.,Inventory Item,Cost of Materials
10MM BORING BIT CMT - 311.100.12,00-50003860,,Nos.,Inventory Item,Cost of Materials
12MM CNC ROUTER BIT CMT - 193.121.11,00-50003553,,Nos.,Inventory Item,Cost of Materials
15MM BORING BIT CMT - 311.150.11,00-50003861,,Nos.,Inventory Item,Cost of Materials
15MM BORING BIT CMT - 311.150.12,00-50003862,,Nos.,Inventory Item,Cost of Materials
22MMX1MM PVC LIPPING - WHITE,00-50003510,,LM,Inventory Item,Cost of Materials
22MMX1MM PVC LIPPING (25823-REALITY) WHITE MATT,00-50003541,,Roll,Inventory Item,Cost of Materials
22MMX2MM PVC LIPPING - WHITE,00-50003396,,Roll,Inventory Item,Cost of Materials
22MMX2MM PVC LIPPING (25823-REALITY) WHITE MATT,00-50003326,,Roll,Inventory Item,Cost of Materials
22MMX2MM PVC LIPPING (25825-REALITY) WHITE,00-50003274,,Roll,Inventory Item,Cost of Materials
22MMX2MM PVC LIPPING (25826-REALITY) WHITE GLOSS,00-50003275,,Roll,Inventory Item,Cost of Materials
2MM CNC TOOL 20/30 - 152.120.208,00-50004020,,Nos.,Inventory Item,Cost of Materials
35MM BORING BIT CMT - 369.350.42,00-50003576,,Nos.,Inventory Item,Cost of Materials
35MM BORING BIT CMT- 369.350.12,00-50003575,,Nos.,Inventory Item,Cost of Materials
3MM CNC ROUTER BIT CMT - 191.630.11,00-50003252,,Nos.,Inventory Item,Cost of Materials
3MM ROUTER CUTTING BIT UKEN-24272,00-50003681,,Nos.,Inventory Item,
410 GAS CYLINDER FOR AC,00-50003618,,Kg,Inventory Item,Cost of Materials
