Code,Name
E660,IGCF-2025 -JOINERY WORKS
P551,SKY HILLS
,Factory
P411,POET MAJLIS
P404,AL DHAID WILDLIFE MUSEUM
P393,ICESCO
P600,MAJAZ AMP-THEATRE
P284,AL HEERA HOUSE
P469,BEACH VILLA
P465,BEACH VILLA
P154,SHARJAH LAKE MOSQUE
P336,ALI BIN ABI TALIB MOSQUE
E614,RAMADAN TENT - AL JADA-SHJ
P227,HAFIA MOSQUE-DOORS
P142,AL DHAID FORT
P392,AL HAFIYA - CAFETERIA-2
P223,DIBBA SOUQ
E607,AL MAJAZ CONCERT 2025
P333,AL HIYAR LAGOON
P366,JAPANES RESTAURANT
E596,XPOSURE 25- SHARJAH
E609,MEDIA GATHERING-SHJ- 25
E590,H.O.W - RUMI EXHIBITION-SHJ-24
E613,HOW RAMADAN EVENT 2025
E612,AL LAYYAH CANAL
P117,EL YAS VILLA SHARJAH
P388,HOLY QURAN ACADEMY - STAFF CAFETERIA
P525,MINISTER VILLA
P011,ENG. SALAH VILLA
P458,TURKISH MEAT VAULT RESTAURANT
P222,HAMAD VILLA - JOINERY WORKS
E633,HYROX 2025 SHARJAH
E634,KALILA DIMAN-HOUSE OF WISOM
I-De,I-Develop Store
P578,KALBA STADIUM PHASE 2
MORE,MORELLA VILLA
P382,FILI COFFEE
P577,AL HEERA BUILDING 01 & 02
P442,AL DHAID FISH GRILL RESTAURANT
P366,JAPANES RESTAURANT
P362,SHARJAH GOVERNMENT MEDIA OFFICE
P541,IRISE OFFICE - JOINERY WORKS
P648,HOLY QURAN CONCEPT
E582,MANUSCRIPT GALLERY - DISMANTLING WORK
P651,ENGR.SALAH BARBER ROOM
P639,HAMAD FARM HOUSE
P381,FILI SOUQ - JOINERY WORKS
P636,VILLA 95 ARABIAN RANCHES PERGOLA GYM
P617,CALIDO RESTAURANT
P454,LAFIF CAFETERIA
P662,ENGR. SALAH VILLA - JOINERY WORKS
P352,DOP - TRANSACTION DEPARTMENT
P642,TCPM OFFICE NB6
P669,MR. MOHAMMAD AL SARI
P287,PRIVATE VILLA U-10
P623,SHARJAH ISLAMIC BANK-8THFLOOR
P172,STATISTIC OFFICE SHARJAH
P537,SHEES VILLAGE
P380,FILI ZOO
P552,SKY HILLS ASTRA
E684,MAHMOUD DARWISH-EXIBITION-SHUROOQ
P672,SKY HILLS RECEPTION & LOBBY
P548,MINSTR-VILLA-AUH-FF&E-G+1+L-SCPE
P350,AL MADAM HOSPITAL
P513,SKY HILLS -JVC/DXB/24
P585,JAPANESE RESTAURANT- MAINTENACE-SHARJAH
E706,SHARJAH EVENTS 2025
P195,MUBADDARA OFFICE SHARJAH
E689,SHARJAH XPOSURE-2026
P361,FILI FORT - JOINERY WORKS
P664,MINISTER VILLA
P239,ABOVE THE CLOUDS RESTAURANT
P717,AL OBEIDLY HOUSE - MAJLIS
E719,RAMADAN TENT- ARADA SHARJAH
